type,text,method
a,Skip to content,selenium
a,THE ANOU COOPERATIVE BLOG,selenium
h2,A Vision Beyond Fair Trade,selenium
a,"YOUR PETS, ARTISANS AND SUCCESSFUL EXPORT REFORMS!",selenium
div,"Posted on May 8, 2022 under Uncategorized",selenium
time,"May 8, 2022",selenium
span,under Uncategorized,selenium
a,Uncategorized,selenium
p,"In November of last year we launched The Pet Lobby in response to export restrictions that affect many painters in Morocco, particularly Nourdin, a member of the Anou community. The quick summary is that each painting shipped from Morocco must go through an onerous process which ultimately requires the approval and signature of the Minister of Culture themselves.",selenium
a,The Pet Lobby,selenium
figcaption,Painting by Nourdin Boukhir,selenium
p,"So when Nourdine sends one of his hilarious paintings, like this one, it can take 3-6 months before his painting reaches the customer. If you purchased from Nourdine before, you’re likely aware of this problem and managing the collateral of the tedious process was burning out the Anou team. The only positive thing of this whole process was imagining the Minister having to take time out of their important schedule to inspect and sign off on cats licking themselves.",selenium
p,"We spent years unsuccessfully trying to change the export rules around these paintings, so we were either going to have to stop selling paintings or do what we do best, which is double down on craft and the tools we have available to bring attention to the problem…all with a dash of humor, in good artisan fashion.",selenium
p,"So we called on all of our supporters to commission paintings of their pets ‘bathing themselves’. Our hope was that we’d generate substantial income for Nourdine while overwhelming the Ministry’s export process with your pets bathing themselves. In other words, either the Minister meets with us to solve this problem, or he’s going to have to spend months looking at all our supporters’ pets bathing themselves.",selenium
figcaption,Artisan Leades team posing with some of the paintings from the campaign.,selenium
p,"Well over $3000 in sales later, national press, and five months of follow ups and leveraging all of your pets for all they were worth, artisan leaders Kenza (Association Tithrite), Rachida Ousbigh (Cooperative Tiglmamin), and Rabha Houari (Association Nahda), finally secured a meeting with the Minister of Culture that took place this week.",selenium
figcaption,"Moroccan culture minister Mehdi Bensaid receiving a Nourdin painting as a gift handed by Rachida Ousbigh, Anou Artisan Leader.",selenium
p,"After the artisan leaders presented Anou, explained the export challenges, and after gifting the Minister his own Nourdine painting, the Minister agreed to make the necessary changes to ensure that Nourdine’s paintings will face no export delays or restrictions. The Minister also confirmed that they were beginning to build a digital portal so that all artists across Morocco can self-report and declare the exports of their paintings so that there will be no delays for any painters in Morocco in the not so distant future.  We couldn’t be more thrilled with this result.",selenium
figcaption,The artisan team and the minister posing with the Pet Lobby campaign paintings.,selenium
p,"We owe the deepest gratitude and patience to all of our supporters who commissioned their paintings. While we didn’t get your paintings to you by the 2021 holiday season (lol sorry, not even close), we eventually did get the change we sought, and we’ll be sending your paintings out in the next",selenium
p,"Ultimately, none of this would’ve been possible without the support of all of our customers. By purchasing through Anou, rather than just another middleman or foreigner. Through Anou, Morocco’s artisan community gains not just better income, but tangible power to change Morocco’s craft economy for the better. The more sales we generate, the more power the artisan community has to create more needed change like we’ve seen today and ensure that the best days of Moroccan craft are always ahead of it.",selenium
p,"And finally, our deepest thanks to Minister Mehdi Bensaid and Advisor Abdellah Eid Nizar for being good sports about our initiative, meeting with artisans, listening to and taking their concerns seriously, and helping us solve this problem for once and all. And of course a big thanks to our pet activists for putting in a good cute fight. Pets and artisans for the win!",selenium
a,THE ARTISAN COMMUNITY JUST BOUGHT A BUILDING!,selenium
div,"Posted on October 22, 2021 under Behind The Scenes, Community, Initiatives, Vision",selenium
time,"October 22, 2021",selenium
span,"under Behind The Scenes, Community, Initiatives, Vision",selenium
a,Behind The Scenes,selenium
a,Initiatives,selenium
figcaption,"Artisan leaders, Anou volunteers, and Moon (the cat) on the ground floor of the four story building we just acquired.",selenium
p,"In the beginning of 2020, Cafe Clock, one of the most famous restaurants in Morocco, donated some space in their new experiential shopping center to The Anou Cooperative. Their space was a beautiful traditional riad that shares walls with the Cafe Clock restaurant in Fez.",selenium
p,"Today, it is with incredibly deep gratitude for Cafe Clock and a constellation of many private Anou donors from around the world that we’re excited to announce The Anou Cooperative has acquired the entire riad from Cafe Clock.",selenium
p,"When we launched the Anou Cooperative many years ago, our vision was to restructure Morocco’s craft economy so that it works for artisans rather than against them. The acquisition of one of the most valuable retail properties in Fez is one of many more steps to come that embody our cooperative’s vision.",selenium
p,"The ancient medinas of Morocco were built with artisan hands and used to be home to countless artisans. Over the past several decades those artisans were replaced by middlemen, many of whom used their prized locations to exploit artisans.",selenium
